"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SLC35A4",0.853413306010927,7.313167890625,10.5037445309138,4.5829104367442e-19,1.92482238343257e-16,32.7928871181902
"MAZ",0.945289016393439,5.50839359375,10.4657275986948,5.69880207427217e-19,2.35150569801546e-16,32.5796355786399
"GRIP2",0.889436092896173,5.314852109375,10.4550293687617,6.05915918160275e-19,2.45709351640167e-16,32.5196343497892
"MMP15",0.595199098360654,6.047019140625,10.4513476793411,6.18836553283007e-19,2.46695520901972e-16,32.4989864883685
"ATG13",0.681094216757741,6.73020236979167,10.3926991027835,8.66002330596908e-19,3.39472913593988e-16,32.170139295567
"ECM1",1.32143259562841,7.878862109375,10.3850503591046,9.04790417029376e-19,3.48863452598867e-16,32.1272621080927
"AP2M1",1.41046601092896,8.41458375,10.372407768461,9.72743935621049e-19,3.6901511880334e-16,32.0563957155205
"RP11-483I13.5",0.965367677595629,4.398302734375,10.3680185985102,9.97508560726034e-19,3.72403196004386e-16,32.0317943319845
"RAD51D",0.908556229508196,5.00176015625,10.3294870194231,1.24379466517116e-18,4.57094539450403e-16,31.8158589358306
"ARRB2",1.20788836065574,6.28104859375,10.2943578054632,1.52087496549364e-18,5.50322756744776e-16,31.6190472672743
"CHST14",0.945954972677597,6.810675,10.2799688297552,1.65144031695531e-18,5.88513276587711e-16,31.5384490879895
"CLN6",0.544256038251365,4.585615703125,10.1818620188401,2.89485864111125e-18,1.01622500356622e-15,30.9891813558405
"BOK",1.18057931693989,9.536751328125,10.1362258693716,3.75789296017731e-18,1.29978885916721e-15,30.7338480448928
"PLD3",1.76021598360656,7.143360859375,10.1147272783168,4.24922003385581e-18,1.44842978545346e-15,30.6136033189315
"ATP6AP1",0.985841557377048,8.702410234375,10.0692352017261,5.51053421226668e-18,1.8515394953216e-15,30.3592463195674
"TRAFD1",0.646605020491801,5.77666791015625,10.047837990116,6.2268804523645e-18,2.06276377802272e-15,30.2396514631088
"SGSH",0.866128142076502,6.19663671875,10.0297758726765,6.90343208261496e-18,2.25512114698755e-15,30.1387189099703
"SLC9A3R1",1.01629655737704,8.75821765625,9.99800763061113,8.27617569284129e-18,2.6665157848716e-15,29.9612444705415
"GABARAP",0.712688797814209,11.01491484375,9.89724895264674,1.47047073771426e-17,4.67371239878911e-15,29.3987869962992
"SMAP2",0.941605273224039,8.258465859375,9.88902295763224,1.54107144802971e-17,4.83280006102117e-15,29.3528981534492
"KNCN",-1.23562573770492,3.17829921875,-9.88436039292302,1.58258009096714e-17,4.89766891309832e-15,29.3268900796368
"CARM1",1.09564155737705,6.806633359375,9.87680334760879,1.65223930309894e-17,5.04684005310223e-15,29.2847396874497
"TNIP1",0.686629234972676,6.78845515625,9.85106221754197,1.91329105587369e-17,5.76930841463451e-15,29.1411959531638
"PPP2R1A",1.32582336065574,6.895215390625,9.83051732176187,2.150867536808e-17,6.40359550199041e-15,29.0266633230683
"MEPCE",0.879418579234967,7.8945325,9.81785557942831,2.31171804383219e-17,6.79645104886663e-15,28.956092876105
"HIP1R",0.704221839708558,6.79786588541667,9.74446883594112,3.51047780133737e-17,1.0193387393513e-14,28.547311918444
"MEN1",0.994587841530052,7.051103203125,9.70274724994623,4.45072437942563e-17,1.26640865503264e-14,28.3151034176819
"FUT10",0.60095538251366,4.141217265625,9.70038413067863,4.51093378629319e-17,1.26640865503264e-14,28.3019553427789
"INTS9",0.716971898907101,5.6575880078125,9.69991869065832,4.52288805368799e-17,1.26640865503264e-14,28.299365752191
"CALCOCO1",0.946430355191255,6.131414765625,9.69623401785292,4.61864649167887e-17,1.27800665275632e-14,28.2788657987316
"ZNF580",1.03217636612022,6.433649765625,9.6916632602064,4.74024748604373e-17,1.29640256827615e-14,28.2534376148316
"IRF3",0.969176857923494,6.946383359375,9.67741400710726,5.14021150042456e-17,1.38962959183892e-14,28.1741769363502
"IGFBP4",1.6322337431694,9.437259453125,9.64996465850767,6.00799773846364e-17,1.60577394100755e-14,28.021539934046
"PCDHGA1 /// PCDHGA10 /// PCDHGA11 /// PCDHGA12 /// PCDHGA2 /// PCDHGA3 /// PCDHGA4 /// PCDHGA5 /// PCDHGA6 /// PCDHGA7 /// PCDHGA8 /// PCDHGA9 /// PCDHGB1 /// PCDHGB2 /// PCDHGB3 /// PCDHGB4 /// PCDHGB5 /// PCDHGB6 /// PCDHGB7 /// PCDHGC3 /// PCDHGC4 /// PCDHGC5",0.982230382513662,7.43106,9.64547985381282,6.16305763250178e-17,1.62870916310609e-14,27.9966075165434
"CHMP1A",0.707431721311473,7.489375859375,9.63640176962951,6.48925041131018e-17,1.69585744082239e-14,27.9461449715237
"TBC1D25",0.594649590163931,5.784670390625,9.6166204172554,7.26089571567701e-17,1.87666227728267e-14,27.8362108863477
"DND1",0.709155765027321,6.344084921875,9.58943627365595,8.4727097416525e-17,2.16606666438768e-14,27.6851926914712
"PFN1",1.21848620218579,10.482081328125,9.57104925270083,9.40471805008609e-17,2.37848353266693e-14,27.5830836152585
"TMEM8A",0.716510000000001,7.09303609375,9.5642568463262,9.7742962031275e-17,2.4456536882719e-14,27.5453709979692
"NCOA5",0.841757677595624,6.140854453125,9.55802584974803,1.01260489971096e-16,2.50054198639719e-14,27.510779161371
"CEP85",0.672611352459016,5.5827076953125,9.55663463591133,1.02062938220294e-16,2.50054198639719e-14,27.5030562252369
"ORAI1",1.19889204918033,7.002158984375,9.50939204215284,1.33422989912788e-16,3.23516363169977e-14,27.240909739737
"HBEGF",0.523559515027322,4.29119974609375,9.50469187174257,1.37025885840183e-16,3.2886212601644e-14,27.2148403450722
"LRRC25",1.50445882513661,5.284483984375,9.4980061031877,1.42318576861084e-16,3.38114437148757e-14,27.1777615369107
"CFL1",0.73410114754098,6.59102515625,9.49549204326718,1.44361107831614e-16,3.38694632009691e-14,27.16381985219
"RP11-410C4.5",0.720317595628415,5.022974375,9.49417490541637,1.45442847929332e-16,3.38694632009691e-14,27.1565159266773
"ERLEC1",0.691872531876135,7.2165315625,9.48574440950864,1.52560641975608e-16,3.5136849723417e-14,27.1097702820056
